日付,カテゴリ,売上金額,注文件数,客単価
2023-02-05,ファッション,125034,17,7354
2023-02-05,食品,91121,23,3961
2023-02-05,家電,46322,7,6617
2023-02-05,美容・コスメ,37227,6,6204
2023-02-05,日用品,52588,8,6573
2023-02-06,ファッション,89558,14,6397
2023-02-06,食品,62396,10,6239
2023-02-06,家電,60714,12,5059
2023-02-06,美容・コスメ,51068,6,8511
2023-02-06,日用品,26159,7,3737
2023-02-07,ファッション,73004,23,3174
2023-02-07,食品,48426,7,6918
2023-02-07,家電,35650,7,5092
2023-02-07,美容・コスメ,48277,15,3218
2023-02-07,日用品,38037,8,4754
2023-02-08,ファッション,74006,11,6727
2023-02-08,食品,68951,9,7661
2023-02-08,家電,54770,7,7824
2023-02-08,美容・コスメ,34768,8,4346
2023-02-08,日用品,36811,5,7362
2023-02-09,ファッション,124253,24,5177
2023-02-09,食品,59085,8,7385
2023-02-09,家電,43415,5,8683
2023-02-09,美容・コスメ,48601,9,5400
2023-02-09,日用品,36816,5,7363
2023-02-10,ファッション,73139,9,8126
2023-02-10,食品,64201,9,7133
2023-02-10,家電,42817,5,8563
2023-02-10,美容・コスメ,37340,12,3111
2023-02-10,日用品,39783,11,3616
2023-02-11,ファッション,111270,14,7947
2023-02-11,食品,105694,18,5871
2023-02-11,家電,67335,12,5611
2023-02-11,美容・コスメ,45548,9,5060
2023-02-11,日用品,45906,6,7651
2023-02-12,ファッション,146633,21,6982
2023-02-12,食品,62793,11,5708
2023-02-12,家電,45834,7,6547
2023-02-12,美容・コスメ,50175,6,8362
2023-02-12,日用品,37878,10,3787
2023-02-13,ファッション,75436,11,6857
2023-02-13,食品,68539,19,3607
2023-02-13,家電,36022,5,7204
2023-02-13,美容・コスメ,29746,4,7436
2023-02-13,日用品,35959,10,3595
2023-02-14,ファッション,72086,9,8009
2023-02-14,食品,59171,12,4930
2023-02-14,家電,57008,7,8144
2023-02-14,美容・コスメ,51664,7,7380
2023-02-14,日用品,29624,8,3703
2023-02-15,ファッション,111963,19,5892
2023-02-15,食品,61090,8,7636
2023-02-15,家電,36802,6,6133
2023-02-15,美容・コスメ,28272,5,5654
2023-02-15,日用品,23481,6,3913
2023-02-16,ファッション,73969,11,6724
2023-02-16,食品,73448,12,6120
2023-02-16,家電,61310,12,5109
2023-02-16,美容・コスメ,34857,4,8714
2023-02-16,日用品,26693,3,8897
2023-02-17,ファッション,67900,8,8487
2023-02-17,食品,46457,6,7742
2023-02-17,家電,48797,6,8132
2023-02-17,美容・コスメ,29771,5,5954
2023-02-17,日用品,41010,7,5858
2023-02-18,ファッション,134489,20,6724
2023-02-18,食品,80930,13,6225
2023-02-18,家電,65556,8,8194
2023-02-18,美容・コスメ,37817,8,4727
2023-02-18,日用品,52842,7,7548
2023-02-19,ファッション,121479,19,6393
2023-02-19,食品,72086,18,4004
2023-02-19,家電,61040,12,5086
2023-02-19,美容・コスメ,54610,16,3413
2023-02-19,日用品,53440,6,8906
2023-02-20,ファッション,107414,18,5967
2023-02-20,食品,56685,8,7085
2023-02-20,家電,53320,13,4101
2023-02-20,美容・コスメ,49862,7,7123
2023-02-20,日用品,40636,6,6772
2023-02-21,ファッション,102532,20,5126
2023-02-21,食品,80616,10,8061
2023-02-21,家電,34902,11,3172
2023-02-21,美容・コスメ,37035,5,7407
2023-02-21,日用品,41355,11,3759
2023-02-22,ファッション,101421,20,5071
2023-02-22,食品,82044,11,7458
2023-02-22,家電,57743,10,5774
2023-02-22,美容・コスメ,37955,8,4744
2023-02-22,日用品,23482,3,7827
2023-02-23,ファッション,114023,14,8144
2023-02-23,食品,83070,14,5933
2023-02-23,家電,55746,7,7963
2023-02-23,美容・コスメ,48391,11,4399
2023-02-23,日用品,31050,8,3881
2023-02-24,ファッション,122153,20,6107
2023-02-24,食品,53579,8,6697
2023-02-24,家電,51402,10,5140
2023-02-24,美容・コスメ,30725,4,7681
2023-02-24,日用品,32389,4,8097
2023-02-25,ファッション,126309,17,7429
2023-02-25,食品,85791,14,6127
2023-02-25,家電,76501,15,5100
2023-02-25,美容・コスメ,40581,12,3381
2023-02-25,日用品,47968,7,6852
2023-02-26,ファッション,140081,34,4120
2023-02-26,食品,65047,21,3097
2023-02-26,家電,56805,9,6311
2023-02-26,美容・コスメ,48638,9,5404
2023-02-26,日用品,51687,10,5168
2023-02-27,ファッション,96805,13,7446
2023-02-27,食品,60027,9,6669
2023-02-27,家電,58436,7,8348
2023-02-27,美容・コスメ,31529,4,7882
2023-02-27,日用品,31848,7,4549
2023-02-28,ファッション,93646,11,8513
2023-02-28,食品,63716,13,4901
2023-02-28,家電,51841,12,4320
2023-02-28,美容・コスメ,29820,8,3727
2023-02-28,日用品,24858,6,4143
2023-03-01,ファッション,131593,21,6266
2023-03-01,食品,90622,19,4769
2023-03-01,家電,103998,19,5473
2023-03-01,美容・コスメ,77037,19,4054
2023-03-01,日用品,45660,14,3261
2023-03-02,ファッション,134628,30,4487
2023-03-02,食品,90295,26,3472
2023-03-02,家電,64880,12,5406
2023-03-02,美容・コスメ,57666,11,5242
2023-03-02,日用品,56114,8,7014
2023-03-03,ファッション,121562,17,7150
2023-03-03,食品,120594,35,3445
2023-03-03,家電,102828,13,7909
2023-03-03,美容・コスメ,51565,11,4687
2023-03-03,日用品,66288,9,7365
2023-03-04,ファッション,177059,43,4117
2023-03-04,食品,134284,24,5595
2023-03-04,家電,116948,24,4872
2023-03-04,美容・コスメ,88954,13,6842
2023-03-04,日用品,52562,12,4380
2023-03-05,ファッション,246357,32,7698
2023-03-05,食品,146620,25,5864
2023-03-05,家電,83461,15,5564
2023-03-05,美容・コスメ,92780,22,4217
2023-03-05,日用品,62720,12,5226
2023-03-06,ファッション,119623,25,4784
2023-03-06,食品,92609,19,4874
2023-03-06,家電,64836,8,8104
2023-03-06,美容・コスメ,73930,11,6720
2023-03-06,日用品,65716,11,5974
2023-03-07,ファッション,126361,22,5743
2023-03-07,食品,117835,17,6931
2023-03-07,家電,80555,22,3661
2023-03-07,美容・コスメ,60918,12,5076
2023-03-07,日用品,60902,10,6090
2023-03-08,ファッション,153494,19,8078
2023-03-08,食品,119108,28,4253
2023-03-08,家電,63929,16,3995
2023-03-08,美容・コスメ,59330,15,3955
2023-03-08,日用品,45468,10,4546
2023-03-09,ファッション,135076,18,7504
2023-03-09,食品,83791,14,5985
2023-03-09,家電,79484,10,7948
2023-03-09,美容・コスメ,53705,10,5370
2023-03-09,日用品,71774,9,7974
2023-03-10,ファッション,199960,46,4346
2023-03-10,食品,89883,14,6420
2023-03-10,家電,105640,18,5868
2023-03-10,美容・コスメ,73007,16,4562
2023-03-10,日用品,65054,16,4065
2023-03-11,ファッション,195294,38,5139
2023-03-11,食品,146264,34,4301
2023-03-11,家電,83964,13,6458
2023-03-11,美容・コスメ,79459,13,6112
2023-03-11,日用品,57702,10,5770
2023-03-12,ファッション,222670,68,3274
2023-03-12,食品,131325,35,3752
2023-03-12,家電,80592,10,8059
2023-03-12,美容・コスメ,81300,11,7390
2023-03-12,日用品,62082,9,6898
2023-03-13,ファッション,194230,32,6069
2023-03-13,食品,110089,21,5242
2023-03-13,家電,76382,9,8486
2023-03-13,美容・コスメ,83886,10,8388
2023-03-13,日用品,43376,6,7229
2023-03-14,ファッション,212184,54,3929
2023-03-14,食品,82868,12,6905
2023-03-14,家電,87753,12,7312
2023-03-14,美容・コスメ,54870,7,7838
2023-03-14,日用品,45974,12,3831
2023-03-15,ファッション,134157,18,7453
2023-03-15,食品,123101,21,5861
2023-03-15,家電,76885,10,7688
2023-03-15,美容・コスメ,65482,9,7275
2023-03-15,日用品,53954,11,4904
2023-03-16,ファッション,164238,36,4562
2023-03-16,食品,128639,23,5593
2023-03-16,家電,70503,9,7833
2023-03-16,美容・コスメ,65123,11,5920
2023-03-16,日用品,69657,11,6332
2023-03-17,ファッション,129383,16,8086
2023-03-17,食品,120581,25,4823
2023-03-17,家電,65819,9,7313
2023-03-17,美容・コスメ,75043,13,5772
2023-03-17,日用品,69234,9,7692
2023-03-18,ファッション,172755,37,4669
2023-03-18,食品,123628,18,6868
2023-03-18,家電,78637,13,6049
2023-03-18,美容・コスメ,105330,14,7523
2023-03-18,日用品,65902,9,7322
2023-03-19,ファッション,167377,23,7277
2023-03-19,食品,113057,22,5138
2023-03-19,家電,128678,34,3784
2023-03-19,美容・コスメ,76217,11,6928
2023-03-19,日用品,82411,13,6339
2023-03-20,ファッション,187550,32,5860
2023-03-20,食品,95320,20,4766
2023-03-20,家電,67952,9,7550
2023-03-20,美容・コスメ,73502,14,5250
2023-03-20,日用品,54723,7,7817
2023-03-21,ファッション,133057,22,6048
2023-03-21,食品,112395,18,6244
2023-03-21,家電,59712,8,7464
2023-03-21,美容・コスメ,88148,15,5876
2023-03-21,日用品,62607,8,7825
2023-03-22,ファッション,188889,50,3777
2023-03-22,食品,117126,19,6164
2023-03-22,家電,80176,11,7288
2023-03-22,美容・コスメ,88243,11,8022
2023-03-22,日用品,54348,15,3623
2023-03-23,ファッション,216871,30,7229
2023-03-23,食品,86777,11,7888
2023-03-23,家電,102642,18,5702
2023-03-23,美容・コスメ,73833,14,5273
2023-03-23,日用品,41039,8,5129
2023-03-24,ファッション,198527,65,3054
2023-03-24,食品,100811,20,5040
2023-03-24,家電,85884,11,7807
2023-03-24,美容・コスメ,63546,13,4888
2023-03-24,日用品,63980,12,5331
2023-03-25,ファッション,182312,34,5362
2023-03-25,食品,114225,29,3938
2023-03-25,家電,109093,21,5194
2023-03-25,美容・コスメ,113650,23,4941
2023-03-25,日用品,76320,12,6360
2023-03-26,ファッション,154595,24,6441
2023-03-26,食品,117473,15,7831
2023-03-26,家電,86180,16,5386
2023-03-26,美容・コスメ,68360,8,8545
2023-03-26,日用品,72895,12,6074
2023-03-27,ファッション,124361,18,6908
2023-03-27,食品,92505,12,7708
2023-03-27,家電,69139,17,4067
2023-03-27,美容・コスメ,50535,9,5615
2023-03-27,日用品,58178,17,3422
2023-03-28,ファッション,195773,37,5291
2023-03-28,食品,113639,21,5411
2023-03-28,家電,78998,13,6076
2023-03-28,美容・コスメ,55520,14,3965
2023-03-28,日用品,68155,8,8519
2023-03-29,ファッション,155229,35,4435
2023-03-29,食品,121676,24,5069
2023-03-29,家電,60079,15,4005
2023-03-29,美容・コスメ,79070,12,6589
2023-03-29,日用品,40110,9,4456
2023-03-30,ファッション,140892,22,6404
2023-03-30,食品,79724,22,3623
2023-03-30,家電,99115,25,3964
2023-03-30,美容・コスメ,76415,18,4245
2023-03-30,日用品,42541,10,4254
2023-03-31,ファッション,190404,26,7323
2023-03-31,食品,134190,26,5161
2023-03-31,家電,92471,22,4203
2023-03-31,美容・コスメ,61312,8,7664
2023-03-31,日用品,39636,11,3603
2023-04-01,ファッション,128658,41,3138
2023-04-01,食品,84121,14,6008
2023-04-01,家電,74322,9,8258
2023-04-01,美容・コスメ,77380,16,4836
2023-04-01,日用品,44494,9,4943
2023-04-02,ファッション,164451,37,4444
2023-04-02,食品,111746,22,5079
2023-04-02,家電,80435,15,5362
2023-04-02,美容・コスメ,56984,7,8140
2023-04-02,日用品,60224,16,3764
2023-04-03,ファッション,146529,26,5635
2023-04-03,食品,98938,14,7067
2023-04-03,家電,57307,18,3183
2023-04-03,美容・コスメ,43060,7,6151
2023-04-03,日用品,43203,10,4320
2023-04-04,ファッション,94033,13,7233
2023-04-04,食品,103251,18,5736
2023-04-04,家電,48180,11,4380
2023-04-04,美容・コスメ,35551,4,8887
2023-04-04,日用品,30826,5,6165
2023-04-05,ファッション,103731,17,6101
2023-04-05,食品,87268,12,7272
2023-04-05,家電,49431,16,3089
2023-04-05,美容・コスメ,39106,5,7821
2023-04-05,日用品,48973,8,6121
2023-04-06,ファッション,127237,20,6361
2023-04-06,食品,64417,8,8052
2023-04-06,家電,57075,11,5188
2023-04-06,美容・コスメ,50567,15,3371
2023-04-06,日用品,31990,4,7997
2023-04-07,ファッション,89961,14,6425
2023-04-07,食品,67776,13,5213
2023-04-07,家電,52392,10,5239
2023-04-07,美容・コスメ,56571,12,4714
2023-04-07,日用品,41593,7,5941
2023-04-08,ファッション,171319,22,7787
2023-04-08,食品,118512,29,4086
2023-04-08,家電,56059,13,4312
2023-04-08,美容・コスメ,68708,21,3271
2023-04-08,日用品,51886,8,6485
2023-04-09,ファッション,140485,20,7024
2023-04-09,食品,79451,23,3454
2023-04-09,家電,88679,16,5542
2023-04-09,美容・コスメ,72347,13,5565
2023-04-09,日用品,44087,6,7347
2023-04-10,ファッション,141557,21,6740
2023-04-10,食品,69062,11,6278
2023-04-10,家電,54995,15,3666
2023-04-10,美容・コスメ,62519,16,3907
2023-04-10,日用品,50805,9,5645
2023-04-11,ファッション,97329,17,5725
2023-04-11,食品,97901,14,6992
2023-04-11,家電,71036,11,6457
2023-04-11,美容・コスメ,55768,7,7966
2023-04-11,日用品,33992,6,5665
2023-04-12,ファッション,99927,12,8327
2023-04-12,食品,101314,31,3268
2023-04-12,家電,67400,8,8425
2023-04-12,美容・コスメ,40417,6,6736
2023-04-12,日用品,49971,15,3331
2023-04-13,ファッション,134214,29,4628
2023-04-13,食品,100371,12,8364
2023-04-13,家電,75993,14,5428
2023-04-13,美容・コスメ,60861,8,7607
2023-04-13,日用品,35658,4,8914
2023-04-14,ファッション,86664,14,6190
2023-04-14,食品,67040,18,3724
2023-04-14,家電,44770,6,7461
2023-04-14,美容・コスメ,45196,6,7532
2023-04-14,日用品,29568,6,4928
2023-04-15,ファッション,159696,22,7258
2023-04-15,食品,92690,15,6179
2023-04-15,家電,96063,15,6404
2023-04-15,美容・コスメ,54585,17,3210
2023-04-15,日用品,63547,20,3177
2023-04-16,ファッション,191072,33,5790
2023-04-16,食品,131397,18,7299
2023-04-16,家電,101303,21,4823
2023-04-16,美容・コスメ,75420,15,5028
2023-04-16,日用品,51372,8,6421
2023-04-17,ファッション,146904,18,8161
2023-04-17,食品,92877,18,5159
2023-04-17,家電,57168,8,7146
2023-04-17,美容・コスメ,42163,11,3833
2023-04-17,日用品,36510,8,4563
2023-04-18,ファッション,105334,25,4213
2023-04-18,食品,58020,18,3223
2023-04-18,家電,77558,15,5170
2023-04-18,美容・コスメ,46529,7,6647
2023-04-18,日用品,33238,4,8309
2023-04-19,ファッション,140616,40,3515
2023-04-19,食品,76043,10,7604
2023-04-19,家電,76010,14,5429
2023-04-19,美容・コスメ,53402,13,4107
2023-04-19,日用品,51788,12,4315
2023-04-20,ファッション,151876,24,6328
2023-04-20,食品,85171,15,5678
2023-04-20,家電,50304,12,4192
2023-04-20,美容・コスメ,41614,10,4161
2023-04-20,日用品,46710,9,5190
2023-04-21,ファッション,88164,11,8014
2023-04-21,食品,98421,12,8201
2023-04-21,家電,77816,20,3890
2023-04-21,美容・コスメ,46887,6,7814
2023-04-21,日用品,44704,11,4064
2023-04-22,ファッション,185561,45,4123
2023-04-22,食品,86766,15,5784
2023-04-22,家電,82349,13,6334
2023-04-22,美容・コスメ,49067,6,8177
2023-04-22,日用品,44686,12,3723
2023-04-23,ファッション,192386,24,8016
2023-04-23,食品,126596,17,7446
2023-04-23,家電,85265,14,6090
2023-04-23,美容・コスメ,48892,9,5432
2023-04-23,日用品,48027,11,4366
2023-04-24,ファッション,136086,24,5670
2023-04-24,食品,59890,14,4277
2023-04-24,家電,66597,19,3505
2023-04-24,美容・コスメ,60536,11,5503
2023-04-24,日用品,39534,6,6589
2023-04-25,ファッション,143377,30,4779
2023-04-25,食品,88544,15,5902
2023-04-25,家電,51613,6,8602
2023-04-25,美容・コスメ,58922,9,6546
2023-04-25,日用品,48413,6,8068
2023-04-26,ファッション,135002,18,7500
2023-04-26,食品,89478,13,6882
2023-04-26,家電,64270,9,7141
2023-04-26,美容・コスメ,39758,5,7951
2023-04-26,日用品,48924,15,3261
2023-04-27,ファッション,143458,39,3678
2023-04-27,食品,72085,10,7208
2023-04-27,家電,47787,6,7964
2023-04-27,美容・コスメ,59964,10,5996
2023-04-27,日用品,28153,6,4692
2023-04-28,ファッション,128418,16,8026
2023-04-28,食品,86327,20,4316
2023-04-28,家電,64824,11,5893
2023-04-28,美容・コスメ,58395,16,3649
2023-04-28,日用品,46264,8,5783
2023-04-29,ファッション,199336,42,4746
2023-04-29,食品,112275,14,8019
2023-04-29,家電,59397,7,8485
2023-04-29,美容・コスメ,72327,21,3444
2023-04-29,日用品,45790,7,6541
2023-04-30,ファッション,115504,19,6079
2023-04-30,食品,94383,15,6292
2023-04-30,家電,56740,7,8105
2023-04-30,美容・コスメ,83466,10,8346
2023-04-30,日用品,59789,16,3736
2023-05-01,ファッション,138594,44,3149
2023-05-01,食品,57061,12,4755
2023-05-01,家電,59591,8,7448
2023-05-01,美容・コスメ,55498,10,5549
2023-05-01,日用品,34567,4,8641
2023-05-02,ファッション,114685,21,5461
2023-05-02,食品,63853,9,7094
2023-05-02,家電,66972,16,4185
2023-05-02,美容・コスメ,37471,5,7494
2023-05-02,日用品,43708,10,4370
2023-05-03,ファッション,152462,40,3811
2023-05-03,食品,76752,9,8528
2023-05-03,家電,57110,9,6345
2023-05-03,美容・コスメ,46927,10,4692
2023-05-03,日用品,51615,10,5161
2023-05-04,ファッション,148375,35,4239
2023-05-04,食品,66229,20,3311
2023-05-04,家電,65460,13,5035
2023-05-04,美容・コスメ,60930,11,5539
2023-05-04,日用品,51236,13,3941
2023-05-05,ファッション,146540,21,6978
2023-05-05,食品,93004,12,7750
2023-05-05,家電,69396,11,6308
2023-05-05,美容・コスメ,38937,12,3244
2023-05-05,日用品,50100,8,6262
2023-05-06,ファッション,183755,33,5568
2023-05-06,食品,80120,22,3641
2023-05-06,家電,86684,16,5417
2023-05-06,美容・コスメ,53320,9,5924
2023-05-06,日用品,38403,6,6400
2023-05-07,ファッション,134377,19,7072
2023-05-07,食品,92166,17,5421
2023-05-07,家電,55143,16,3446
2023-05-07,美容・コスメ,60807,11,5527
2023-05-07,日用品,55120,12,4593
2023-05-08,ファッション,134038,18,7446
2023-05-08,食品,93432,29,3221
2023-05-08,家電,59298,16,3706
2023-05-08,美容・コスメ,42261,5,8452
2023-05-08,日用品,31419,5,6283
2023-05-09,ファッション,128507,19,6763
2023-05-09,食品,82863,27,3069
2023-05-09,家電,53752,9,5972
2023-05-09,美容・コスメ,37635,7,5376
2023-05-09,日用品,28796,8,3599
2023-05-10,ファッション,112578,30,3752
2023-05-10,食品,83241,12,6936
2023-05-10,家電,70821,17,4165
2023-05-10,美容・コスメ,40024,11,3638
2023-05-10,日用品,43274,6,7212
2023-05-11,ファッション,86274,11,7843
2023-05-11,食品,58494,10,5849
2023-05-11,家電,67526,9,7502
2023-05-11,美容・コスメ,56422,8,7052
2023-05-11,日用品,36146,5,7229
2023-05-12,ファッション,89768,12,7480
2023-05-12,食品,82284,11,7480
2023-05-12,家電,58283,9,6475
2023-05-12,美容・コスメ,50792,7,7256
2023-05-12,日用品,29959,9,3328
2023-05-13,ファッション,132328,34,3892
2023-05-13,食品,127199,31,4103
2023-05-13,家電,100270,21,4774
2023-05-13,美容・コスメ,52602,7,7514
2023-05-13,日用品,56951,10,5695
2023-05-14,ファッション,161182,24,6715
2023-05-14,食品,87055,10,8705
2023-05-14,家電,100220,16,6263
2023-05-14,美容・コスメ,53282,8,6660
2023-05-14,日用品,38652,12,3221
2023-05-15,ファッション,102553,19,5397
2023-05-15,食品,97677,14,6976
2023-05-15,家電,68737,13,5287
2023-05-15,美容・コスメ,45378,9,5042
2023-05-15,日用品,51703,16,3231
2023-05-16,ファッション,146426,24,6101
2023-05-16,食品,77053,11,7004
2023-05-16,家電,59520,8,7440
2023-05-16,美容・コスメ,62021,12,5168
2023-05-16,日用品,34643,5,6928
2023-05-17,ファッション,149690,36,4158
2023-05-17,食品,85902,13,6607
2023-05-17,家電,68392,18,3799
2023-05-17,美容・コスメ,56474,7,8067
2023-05-17,日用品,32312,7,4616
2023-05-18,ファッション,153940,39,3947
2023-05-18,食品,97010,17,5706
2023-05-18,家電,50900,6,8483
2023-05-18,美容・コスメ,48359,8,6044
2023-05-18,日用品,36621,6,6103
2023-05-19,ファッション,95773,19,5040
2023-05-19,食品,102531,23,4457
2023-05-19,家電,65642,14,4688
2023-05-19,美容・コスメ,58204,15,3880
2023-05-19,日用品,51275,9,5697
2023-05-20,ファッション,131294,38,3455
2023-05-20,食品,83392,14,5956
2023-05-20,家電,70371,9,7819
2023-05-20,美容・コスメ,62304,14,4450
2023-05-20,日用品,55654,8,6956
2023-05-21,ファッション,124835,32,3901
2023-05-21,食品,75088,11,6826
2023-05-21,家電,85666,15,5711
2023-05-21,美容・コスメ,78422,11,7129
2023-05-21,日用品,54663,7,7809
2023-05-22,ファッション,98820,27,3660
2023-05-22,食品,68947,20,3447
2023-05-22,家電,61122,7,8731
2023-05-22,美容・コスメ,36180,10,3618
2023-05-22,日用品,38852,5,7770
2023-05-23,ファッション,106763,19,5619
