日付,SKU,カテゴリ,販売数量,単価,割引率,広告費,プロモーション,曜日,月,売上金額,前週平均販売数量,前月平均販売数量
2025-06-05,SKU001,食品,31,17389,0,643,0,Thursday,6,539059,40.6,42.0
2025-06-06,SKU001,食品,30,17389,0,0,0,Friday,6,521670,39.6,41.7
2025-06-07,SKU001,食品,41,17389,5,0,0,Saturday,6,677301,37.3,41.9
2025-06-08,SKU001,食品,37,17389,0,653,0,Sunday,6,643393,34.4,42.1
2025-06-09,SKU001,食品,22,17389,0,0,0,Monday,6,382558,34.7,41.4
2025-06-10,SKU001,食品,44,17389,0,7501,1,Tuesday,6,765116,33.7,40.5
2025-06-11,SKU001,食品,31,17389,0,0,0,Wednesday,6,539059,32.9,40.4
2025-06-12,SKU001,食品,62,17389,10,0,1,Thursday,6,970306,33.7,40.2
2025-06-13,SKU001,食品,40,17389,0,2413,0,Friday,6,695560,38.1,41.2
2025-06-14,SKU001,食品,44,17389,0,0,0,Saturday,6,765116,39.6,41.3
2025-06-15,SKU001,食品,67,17389,0,0,1,Sunday,6,1165063,40.0,40.8
2025-06-16,SKU001,食品,36,17389,0,961,0,Monday,6,626004,44.3,41.7
2025-06-17,SKU001,食品,41,17389,0,0,0,Tuesday,6,712949,46.3,41.0
2025-06-18,SKU001,食品,36,17389,10,0,0,Wednesday,6,563403,45.9,41.0
2025-06-19,SKU001,食品,37,17389,0,0,0,Thursday,6,643393,46.6,41.2
2025-06-20,SKU001,食品,36,17389,10,4770,0,Friday,6,563403,43.0,41.1
2025-06-21,SKU001,食品,65,17389,5,221,1,Saturday,6,1073770,42.4,39.5
2025-06-22,SKU001,食品,68,17389,0,0,1,Sunday,6,1182452,45.4,40.5
2025-06-23,SKU001,食品,53,17389,0,0,1,Monday,6,921617,45.6,41.8
2025-06-24,SKU001,食品,23,17389,0,0,0,Tuesday,6,399947,48.0,42.0
2025-06-25,SKU001,食品,36,17389,0,0,0,Wednesday,6,626004,45.4,41.2
2025-06-26,SKU001,食品,35,17389,0,0,0,Thursday,6,608615,45.4,41.4
2025-06-27,SKU001,食品,35,17389,0,0,0,Friday,6,608615,45.1,41.4
2025-06-28,SKU001,食品,42,17389,0,3726,0,Saturday,6,730338,45.0,41.1
2025-06-29,SKU001,食品,82,17389,30,0,1,Sunday,6,998128,41.7,41.3
2025-06-30,SKU001,食品,35,17389,0,10166,0,Monday,6,608615,43.7,42.5
2025-07-01,SKU001,食品,33,17389,0,4444,0,Tuesday,7,573837,41.1,41.6
2025-07-02,SKU001,食品,30,17389,5,1921,0,Wednesday,7,495586,42.6,41.5
2025-07-03,SKU001,食品,56,17389,10,2362,1,Thursday,7,876405,41.7,41.6
2025-07-04,SKU001,食品,47,17389,0,0,1,Friday,7,817283,44.7,41.8
2025-07-05,SKU001,食品,45,17389,5,0,0,Saturday,7,743379,46.4,42.5
2025-07-06,SKU001,食品,39,17389,0,0,0,Sunday,7,678171,46.9,43.0
2025-07-07,SKU001,食品,25,17389,0,171,0,Monday,7,434725,40.7,43.3
2025-07-08,SKU001,食品,28,17389,0,0,0,Tuesday,7,486892,39.3,42.7
2025-07-09,SKU001,食品,28,17389,0,0,0,Wednesday,7,486892,38.6,42.4
2025-07-10,SKU001,食品,25,17389,0,0,0,Thursday,7,434725,38.3,42.6
2025-07-11,SKU001,食品,36,17389,20,0,0,Friday,7,500803,33.9,42.0
2025-07-12,SKU001,食品,47,17389,15,476,0,Saturday,7,694690,32.3,42.2
2025-07-13,SKU001,食品,37,17389,0,1226,0,Sunday,7,643393,32.6,41.7
2025-07-14,SKU001,食品,39,17389,15,0,0,Monday,7,576445,32.3,41.6
2025-07-15,SKU001,食品,20,17389,0,0,0,Tuesday,7,347780,34.3,41.4
2025-07-16,SKU001,食品,45,17389,0,0,1,Wednesday,7,782505,33.1,39.8
2025-07-17,SKU001,食品,34,17389,0,338,0,Thursday,7,591226,35.6,40.1
2025-07-18,SKU001,食品,33,17389,0,387,0,Friday,7,573837,36.9,39.9
2025-07-19,SKU001,食品,33,17389,5,0,0,Saturday,7,545145,36.4,39.8
2025-07-20,SKU001,食品,34,17389,0,0,0,Sunday,7,591226,34.4,39.7
2025-07-21,SKU001,食品,32,17389,5,924,0,Monday,7,528625,34.0,39.6
2025-07-22,SKU001,食品,31,17389,0,0,0,Tuesday,7,539059,33.0,38.5
2025-07-23,SKU001,食品,27,17389,0,1005,0,Wednesday,7,469503,34.6,37.3
2025-07-24,SKU001,食品,44,17389,0,431,0,Thursday,7,765116,32.0,36.4
2025-07-25,SKU001,食品,32,17389,30,3301,0,Friday,7,389513,33.4,37.1
2025-07-26,SKU001,食品,28,17389,0,118,0,Saturday,7,486892,33.3,37.0
2025-07-27,SKU001,食品,48,17389,0,0,1,Sunday,7,834672,32.6,36.7
2025-07-28,SKU001,食品,32,17389,10,1020,0,Monday,7,500803,34.6,37.2
2025-07-29,SKU001,食品,29,17389,0,0,0,Tuesday,7,504281,34.6,36.8
2025-07-30,SKU001,食品,29,17389,0,0,0,Wednesday,7,504281,34.3,35.1
2025-07-31,SKU001,食品,38,17389,0,0,0,Thursday,7,660782,34.6,34.9
2025-08-01,SKU001,食品,45,17389,0,0,0,Friday,8,782505,33.7,35.0
2025-08-02,SKU001,食品,33,17389,0,0,0,Saturday,8,573837,35.6,35.5
2025-08-03,SKU001,食品,32,17389,0,0,0,Sunday,8,556448,36.3,34.8
2025-08-04,SKU001,食品,35,17389,10,0,0,Monday,8,547753,34.0,34.3
2025-08-05,SKU001,食品,37,17389,0,4295,1,Tuesday,8,643393,34.4,33.9
2025-08-06,SKU001,食品,32,17389,0,1319,0,Wednesday,8,556448,35.6,33.9
2025-08-07,SKU001,食品,20,17389,5,354,0,Thursday,8,330391,36.0,34.1
2025-08-08,SKU001,食品,29,17389,0,0,0,Friday,8,504281,33.4,33.8
2025-08-09,SKU001,食品,29,17389,0,0,0,Saturday,8,504281,31.1,33.9
2025-08-10,SKU001,食品,53,17389,15,1902,1,Sunday,8,783374,30.6,34.0
2025-08-11,SKU001,食品,32,17389,0,0,0,Monday,8,556448,33.6,34.6
2025-08-12,SKU001,食品,25,17389,0,0,0,Tuesday,8,434725,33.1,34.1
2025-08-13,SKU001,食品,7,17389,0,5428,0,Wednesday,8,121723,31.4,33.7
2025-08-14,SKU001,食品,18,17389,0,0,0,Thursday,8,313002,27.9,32.6
2025-08-15,SKU001,食品,21,17389,10,0,0,Friday,8,328652,27.6,32.5
2025-08-16,SKU001,食品,23,17389,0,0,0,Saturday,8,399947,26.4,31.7
2025-08-17,SKU001,食品,36,17389,10,0,0,Sunday,8,563403,25.6,31.4
2025-08-18,SKU001,食品,31,17389,0,3802,0,Monday,8,539059,23.1,31.5
2025-08-19,SKU001,食品,28,17389,20,0,0,Tuesday,8,389513,23.0,31.4
2025-08-20,SKU001,食品,30,17389,0,0,0,Wednesday,8,521670,23.4,31.2
2025-08-21,SKU001,食品,29,17389,0,0,1,Thursday,8,504281,26.7,31.1
2025-08-22,SKU001,食品,28,17389,0,1225,0,Friday,8,486892,28.3,31.1
2025-08-23,SKU001,食品,37,17389,15,3032,0,Saturday,8,546884,29.3,31.1
2025-08-24,SKU001,食品,41,17389,30,0,0,Sunday,8,499064,31.3,30.9
2025-08-25,SKU001,食品,35,17389,0,0,0,Monday,8,608615,32.0,31.2
2025-08-26,SKU001,食品,33,17389,0,472,1,Tuesday,8,573837,32.6,31.4
2025-08-27,SKU001,食品,35,17389,0,133,0,Wednesday,8,608615,33.3,30.9
2025-08-28,SKU001,食品,26,17389,10,227,0,Thursday,8,406902,34.0,31.0
2025-08-29,SKU001,食品,23,17389,0,546,0,Friday,8,399947,33.6,30.9
2025-08-30,SKU001,食品,37,17389,0,0,0,Saturday,8,643393,32.9,30.7
2025-08-31,SKU001,食品,39,17389,0,3245,0,Sunday,8,678171,32.9,30.7
2025-09-01,SKU001,食品,21,17389,0,1308,0,Monday,9,365169,32.6,30.5
2025-09-02,SKU001,食品,33,17389,0,1550,1,Tuesday,9,573837,30.6,30.1
2025-09-03,SKU001,食品,16,17389,5,0,0,Wednesday,9,264312,30.6,30.1
2025-09-04,SKU001,食品,24,17389,0,0,0,Thursday,9,417336,27.9,29.5
2025-09-05,SKU001,食品,30,17389,0,0,0,Friday,9,521670,27.6,29.0
2025-09-06,SKU001,食品,30,17389,5,19,0,Saturday,9,495586,28.6,29.0
2025-09-07,SKU001,食品,34,17389,0,0,0,Sunday,9,591226,27.6,29.3
2025-09-08,SKU001,食品,26,17389,0,1577,0,Monday,9,452114,26.9,29.5
2025-09-09,SKU001,食品,20,17389,0,0,0,Tuesday,9,347780,27.6,29.4
2025-09-10,SKU001,食品,31,17389,0,3168,0,Wednesday,9,539059,25.7,28.3
2025-09-11,SKU001,食品,21,17389,0,877,0,Thursday,9,365169,27.9,28.2
2025-09-12,SKU001,食品,22,17389,0,0,0,Friday,9,382558,27.4,28.1
2025-09-13,SKU001,食品,33,17389,0,0,0,Saturday,9,573837,26.3,28.6
2025-09-14,SKU001,食品,25,17389,0,0,0,Sunday,9,434725,26.7,29.1
2025-09-15,SKU001,食品,27,17389,30,370,0,Monday,9,328652,25.4,29.2
2025-09-16,SKU001,食品,26,17389,0,0,0,Tuesday,9,452114,25.6,29.4
2025-09-17,SKU001,食品,15,17389,0,1779,0,Wednesday,9,260835,26.4,29.0
2025-09-18,SKU001,食品,19,17389,0,0,0,Thursday,9,330391,24.1,28.5
2025-09-19,SKU001,食品,19,17389,10,0,0,Friday,9,297351,23.9,28.2
2025-09-20,SKU001,食品,32,17389,0,2027,0,Saturday,9,556448,23.4,27.8
2025-09-21,SKU001,食品,22,17389,0,1598,0,Sunday,9,382558,23.3,27.9
2025-09-22,SKU001,食品,41,17389,0,0,1,Monday,9,712949,22.9,27.7
2025-09-23,SKU001,食品,23,17389,0,379,0,Tuesday,9,399947,24.9,27.9
2025-09-24,SKU001,食品,40,17389,0,0,1,Wednesday,9,695560,24.4,27.3
2025-09-25,SKU001,食品,16,17389,5,0,0,Thursday,9,264312,28.0,27.4
2025-09-26,SKU001,食品,15,17389,0,0,0,Friday,9,260835,27.6,26.9
2025-09-27,SKU001,食品,31,17389,0,474,0,Saturday,9,539059,27.0,26.2
2025-09-28,SKU001,食品,22,17389,0,0,0,Sunday,9,382558,26.9,26.4
2025-09-29,SKU001,食品,22,17389,0,1426,0,Monday,9,382558,26.9,26.3
2025-09-30,SKU001,食品,26,17389,0,0,0,Tuesday,9,452114,24.1,25.8
2025-10-01,SKU001,食品,26,17389,0,0,0,Wednesday,10,452114,24.6,25.4
2025-10-02,SKU001,食品,19,17389,0,2432,0,Thursday,10,330391,22.6,25.6
2025-10-03,SKU001,食品,19,17389,0,247,0,Friday,10,330391,23.0,25.1
2025-10-04,SKU001,食品,27,17389,0,0,0,Saturday,10,469503,23.6,25.2
2025-10-05,SKU001,食品,30,17389,0,435,0,Sunday,10,521670,23.0,25.3
2025-10-06,SKU001,食品,26,17389,0,0,0,Monday,10,452114,24.1,25.3
2025-10-07,SKU001,食品,38,17389,20,0,0,Tuesday,10,528625,24.7,25.2
2025-10-08,SKU001,食品,29,17389,0,0,0,Wednesday,10,504281,26.4,25.3
2025-10-09,SKU001,食品,37,17389,0,0,1,Thursday,10,643393,26.9,25.4
2025-10-10,SKU001,食品,26,17389,0,0,0,Friday,10,452114,29.4,26.0
2025-10-11,SKU001,食品,32,17389,0,0,0,Saturday,10,556448,30.4,25.8
2025-10-12,SKU001,食品,32,17389,0,322,0,Sunday,10,556448,31.1,26.2
2025-10-13,SKU001,食品,23,17389,0,0,0,Monday,10,399947,31.4,26.5
2025-10-14,SKU001,食品,25,17389,0,0,0,Tuesday,10,434725,31.0,26.2
2025-10-15,SKU001,食品,40,17389,0,0,1,Wednesday,10,695560,29.1,26.2
2025-10-16,SKU001,食品,44,17389,15,0,1,Thursday,10,650348,30.7,26.6
2025-10-17,SKU001,食品,13,17389,0,0,0,Friday,10,226057,31.7,27.2
2025-10-18,SKU001,食品,17,17389,0,807,0,Saturday,10,295613,29.9,27.1
2025-10-19,SKU001,食品,27,17389,5,0,0,Sunday,10,446027,27.7,27.1
2025-10-20,SKU001,食品,31,17389,20,1546,0,Monday,10,431247,27.0,27.3
2025-10-21,SKU001,食品,14,17389,0,0,0,Tuesday,10,243446,28.1,27.3
2025-10-22,SKU001,食品,21,17389,5,589,0,Wednesday,10,346910,26.6,27.0
2025-10-23,SKU001,食品,29,17389,30,0,0,Thursday,10,352996,23.9,26.4
2025-10-24,SKU001,食品,26,17389,0,0,0,Friday,10,452114,21.7,26.6
2025-10-25,SKU001,食品,32,17389,5,0,0,Saturday,10,528625,23.6,26.1
2025-10-26,SKU001,食品,40,17389,0,0,0,Sunday,10,695560,25.7,26.6
2025-10-27,SKU001,食品,27,17389,20,0,0,Monday,10,375602,27.6,27.5
2025-10-28,SKU001,食品,25,17389,0,0,0,Tuesday,10,434725,27.0,27.3
2025-10-29,SKU001,食品,16,17389,0,631,0,Wednesday,10,278224,28.6,27.4
2025-10-30,SKU001,食品,31,17389,0,4310,1,Thursday,10,539059,27.9,27.2
2025-10-31,SKU001,食品,16,17389,0,21349,0,Friday,10,278224,28.1,27.4
2025-11-01,SKU001,食品,25,17389,0,382,0,Saturday,11,434725,26.7,27.1
2025-11-02,SKU001,食品,37,17389,0,0,0,Sunday,11,643393,25.7,27.3
2025-11-03,SKU001,食品,19,17389,0,0,0,Monday,11,330391,25.3,27.9
2025-11-04,SKU001,食品,36,17389,10,0,0,Tuesday,11,563403,24.1,27.6
2025-11-05,SKU001,食品,17,17389,0,0,0,Wednesday,11,295613,25.7,27.8
2025-11-06,SKU001,食品,11,17389,0,0,0,Thursday,11,191279,25.9,27.5
2025-11-07,SKU001,食品,20,17389,0,865,0,Friday,11,347780,23.0,26.6
2025-11-08,SKU001,食品,22,17389,0,0,0,Saturday,11,382558,23.6,26.3
2025-11-09,SKU001,食品,17,17389,0,3688,0,Sunday,11,295613,23.1,25.8
2025-11-10,SKU001,食品,19,17389,5,0,0,Monday,11,313871,20.3,25.5
2025-11-11,SKU001,食品,22,17389,0,1144,0,Tuesday,11,382558,20.3,25.1
2025-11-12,SKU001,食品,13,17389,0,0,0,Wednesday,11,226057,18.3,24.7
2025-11-13,SKU001,食品,25,17389,0,0,0,Thursday,11,434725,17.7,24.4
2025-11-14,SKU001,食品,28,17389,5,0,0,Friday,11,462547,19.7,24.4
2025-11-15,SKU001,食品,35,17389,10,818,0,Saturday,11,547753,20.9,24.0
2025-11-16,SKU001,食品,42,17389,0,0,1,Sunday,11,730338,22.7,23.7
2025-11-17,SKU001,食品,23,17389,15,6226,0,Monday,11,339954,26.3,24.7
2025-11-18,SKU001,食品,32,17389,5,0,0,Tuesday,11,528625,26.9,24.9
2025-11-19,SKU001,食品,28,17389,0,0,1,Wednesday,11,486892,28.3,25.0
2025-11-20,SKU001,食品,29,17389,0,0,0,Thursday,11,504281,30.4,24.9
2025-11-21,SKU001,食品,20,17389,0,420,0,Friday,11,347780,31.0,25.4
2025-11-22,SKU001,食品,25,17389,0,0,0,Saturday,11,434725,29.9,25.4
2025-11-23,SKU001,食品,34,17389,0,0,0,Sunday,11,591226,28.4,25.3
2025-11-24,SKU001,食品,23,17389,0,9356,0,Monday,11,399947,27.3,25.5
2025-11-25,SKU001,食品,29,17389,0,22048,0,Tuesday,11,504281,27.3,25.2
2025-11-26,SKU001,食品,19,17389,0,0,0,Wednesday,11,330391,26.9,24.9
2025-11-27,SKU001,食品,21,17389,0,2266,0,Thursday,11,365169,25.6,24.6
2025-11-28,SKU001,食品,14,17389,10,0,0,Friday,11,219101,24.4,24.5
2025-11-29,SKU001,食品,28,17389,0,0,0,Saturday,11,486892,23.6,24.4
2025-11-30,SKU001,食品,38,17389,0,0,0,Sunday,11,660782,24.0,24.3
2025-12-01,SKU001,食品,27,17389,0,0,1,Monday,12,469503,24.6,25.0
2025-12-02,SKU001,食品,25,17389,5,0,0,Tuesday,12,412988,25.1,25.1
2025-12-03,SKU001,食品,19,17389,0,4986,0,Wednesday,12,330391,24.6,24.7
2025-12-04,SKU001,食品,30,17389,0,0,0,Thursday,12,521670,24.6,24.7
2025-12-05,SKU001,食品,29,17389,0,35313,0,Friday,12,504281,25.9,24.5
2025-12-06,SKU001,食品,36,17389,0,6301,0,Saturday,12,626004,28.0,24.9
2025-12-07,SKU001,食品,46,17389,0,0,1,Sunday,12,799894,29.1,25.7
2025-12-08,SKU001,食品,34,17389,0,0,0,Monday,12,591226,30.3,26.6
2025-12-09,SKU001,食品,22,17389,0,0,0,Tuesday,12,382558,31.3,27.0
2025-12-10,SKU001,食品,30,17389,5,582,0,Wednesday,12,495586,30.9,27.2
2025-12-11,SKU001,食品,41,17389,0,947,1,Thursday,12,712949,32.4,27.5
2025-12-12,SKU001,食品,10,17389,0,0,0,Friday,12,173890,34.0,28.2
2025-12-13,SKU001,食品,50,17389,10,0,1,Saturday,12,782505,31.3,28.1
2025-12-14,SKU001,食品,42,17389,0,2619,0,Sunday,12,730338,33.3,28.9
2025-12-15,SKU001,食品,27,17389,5,0,0,Monday,12,446027,32.7,29.4
2025-12-16,SKU001,食品,24,17389,15,2551,0,Tuesday,12,354735,31.7,29.1
2025-12-17,SKU001,食品,21,17389,0,1171,0,Wednesday,12,365169,32.0,28.5
2025-12-18,SKU001,食品,43,17389,0,0,1,Thursday,12,747727,30.7,28.4
2025-12-19,SKU001,食品,28,17389,5,0,0,Friday,12,462547,31.0,28.8
2025-12-20,SKU001,食品,39,17389,0,0,0,Saturday,12,678171,33.6,28.8
2025-12-21,SKU001,食品,41,17389,0,0,0,Sunday,12,712949,32.0,29.1
2025-12-22,SKU001,食品,32,17389,0,639,0,Monday,12,556448,31.9,29.8
2025-12-23,SKU001,食品,20,17389,5,271,0,Tuesday,12,330391,32.6,30.1
2025-12-24,SKU001,食品,21,17389,0,1300,0,Wednesday,12,365169,32.0,29.6
2025-12-25,SKU001,食品,17,17389,0,0,0,Thursday,12,295613,32.0,29.5
2025-12-26,SKU001,食品,25,17389,0,1713,0,Friday,12,434725,28.3,29.1
2025-12-27,SKU001,食品,35,17389,0,0,0,Saturday,12,608615,27.9,29.3
2025-12-28,SKU001,食品,45,17389,20,0,0,Sunday,12,626004,27.3,29.8
2025-12-29,SKU001,食品,38,17389,0,0,0,Monday,12,660782,27.9,30.8
2025-12-30,SKU001,食品,32,17389,5,0,0,Tuesday,12,528625,28.7,31.2
2025-12-31,SKU001,食品,24,17389,0,0,0,Wednesday,12,417336,30.4,31.0
2026-01-01,SKU001,食品,33,17389,5,1389,0,Thursday,1,545145,30.9,30.9
2026-01-02,SKU001,食品,28,17389,0,0,0,Friday,1,486892,33.1,31.1
2026-01-03,SKU001,食品,40,17389,0,2301,0,Saturday,1,695560,33.6,31.4
2026-01-04,SKU001,食品,62,17389,0,0,1,Sunday,1,1078118,34.3,31.8
2026-01-05,SKU001,食品,34,17389,0,0,0,Monday,1,591226,36.7,32.9
2026-01-06,SKU001,食品,30,17389,0,0,0,Tuesday,1,521670,36.1,32.8
2026-01-07,SKU001,食品,51,17389,10,0,1,Wednesday,1,798155,35.9,32.3
2026-01-08,SKU001,食品,36,17389,0,0,0,Thursday,1,626004,39.7,32.8
2026-01-09,SKU001,食品,43,17389,0,981,0,Friday,1,747727,40.1,33.3
2026-01-10,SKU001,食品,46,17389,0,0,0,Saturday,1,799894,42.3,33.7
2026-01-11,SKU001,食品,66,17389,0,589,1,Sunday,1,1147674,43.1,33.9
2026-01-12,SKU001,食品,30,17389,0,5302,0,Monday,1,521670,43.7,35.8
2026-01-13,SKU001,食品,32,17389,0,328,0,Tuesday,1,556448,43.1,35.1
2026-01-14,SKU001,食品,19,17389,0,1055,0,Wednesday,1,330391,43.4,34.8
2026-01-15,SKU001,食品,37,17389,0,5855,0,Thursday,1,643393,38.9,34.5
2026-01-16,SKU001,食品,37,17389,20,0,0,Friday,1,514714,39.0,34.9
2026-01-17,SKU001,食品,60,17389,0,0,1,Saturday,1,1043340,38.1,35.5
2026-01-18,SKU001,食品,71,17389,0,481,1,Sunday,1,1234619,40.1,36.0
2026-01-19,SKU001,食品,43,17389,0,0,1,Monday,1,747727,40.9,37.5
2026-01-20,SKU001,食品,37,17389,0,0,0,Tuesday,1,643393,42.7,37.6
2026-01-21,SKU001,食品,49,17389,0,561,1,Wednesday,1,852061,43.4,37.5
2026-01-22,SKU001,食品,27,17389,0,0,0,Thursday,1,469503,47.7,38.0
2026-01-23,SKU001,食品,32,17389,5,2918,0,Friday,1,528625,46.3,38.3
2026-01-24,SKU001,食品,56,17389,15,0,0,Saturday,1,827716,45.6,38.6
2026-01-25,SKU001,食品,33,17389,0,0,0,Sunday,1,573837,45.0,39.9
2026-01-26,SKU001,食品,39,17389,10,0,0,Monday,1,610353,39.6,40.2
2026-01-27,SKU001,食品,49,17389,0,0,1,Tuesday,1,852061,39.0,40.3
2026-01-28,SKU001,食品,31,17389,0,0,0,Wednesday,1,539059,40.7,40.5
2026-01-29,SKU001,食品,28,17389,0,0,0,Thursday,1,486892,38.1,40.2
2026-01-30,SKU001,食品,38,17389,0,0,0,Friday,1,660782,38.3,40.1
2026-01-31,SKU001,食品,55,17389,5,0,0,Saturday,1,908575,39.1,40.6
2026-02-01,SKU001,食品,53,17389,0,1043,0,Sunday,2,921617,39.0,41.3
2026-02-02,SKU001,食品,65,17389,15,0,1,Monday,2,960742,41.9,42.1
2026-02-03,SKU001,食品,34,17389,0,0,0,Tuesday,2,591226,45.6,43.0
2026-02-04,SKU001,食品,66,17389,0,0,1,Wednesday,2,1147674,43.4,42.0
2026-02-05,SKU001,食品,33,17389,0,0,0,Thursday,2,573837,48.4,43.1
2026-02-06,SKU001,食品,34,17389,0,0,0,Friday,2,591226,49.1,43.2
2026-02-07,SKU001,食品,49,17389,0,881,0,Saturday,2,852061,48.6,42.6
